Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
27.100000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",209,3233.11
27.300000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",160,4637.91
27.100000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",252,4147.07
27.100000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",177,5318.28
28.800000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,211.38
28.300000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",21,527.14
27.800000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,145.55
27.500000,51.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",28,455.06
27.400000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,472.66
27.100000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,170.52
27.000000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",331,15077.48
26.900000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",304,10571.26
27.000000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",358,14658.35
27.100000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",233,3311.62
27.000000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",384,42518.48
26.800000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",215,8101.01
26.500000,50.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",134,757.95
26.700000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",296,10144.28
26.700000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",101,1206.45
25.900000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,63.79
27.000000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",196,7439.14
26.800000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",113,6582.60
26.800000,51.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",85,17540.75
26.600000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",52,1026.98
26.500000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",70,1247.68
26.500000,51.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,417.67
26.300000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",57,184.40
26.400000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,383.25
26.200000,52.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,1398.62
26.000000,52.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,1145.51
25.400000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",11,150.09
25.000000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,181.15
25.300000,52.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,50.11
25.700000,53.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",32,582.56
25.800000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",35,476.56
25.900000,53.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",21,287.94
26.200000,54.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,62.82
26.000000,54.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",16,194.79
26.600000,56.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,20.73
26.100000,55.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,32.00
26.300000,55.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,352.08
25.200000,54.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,125.12
25.700000,55.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,16.76
29.500000,48.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,51.76
29.700000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,183.68
28.600000,48.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",29,211.50
28.500000,48.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",49,561.78
29.500000,49.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,224.11
29.200000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,40.40
28.900000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",6,76.36
28.800000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,102.20
28.800000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,109.69
28.800000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,189.38
28.700000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,76.43
28.700000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,96.99
28.200000,49.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",117,4168.58
28.100000,49.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",93,1741.36
28.000000,49.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",126,1421.40
28.200000,49.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",220,6811.56
28.300000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",101,1288.37
28.000000,49.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",328,12288.67
28.000000,49.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",126,1449.79
28.000000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",166,2545.83
28.000000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",218,4824.85
27.800000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",206,5275.50
27.900000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",309,9283.23
27.800000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",287,11013.99
27.700000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",257,5244.42
28.000000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,512.35
27.700000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",236,10313.46
27.700000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",219,7191.10
27.400000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",133,1144.77
27.600000,49.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",217,6460.64
27.600000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",251,6836.60
27.300000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",166,1580.68
27.200000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",130,2259.62
27.200000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",96,1117.45
